ticker,strategy,signal_date,entry_date,exit_date,signal,entry_price,exit_price,pnl_pct
GOOGL,llm,2025-10-06,2025-10-07,2025-10-14,BUY,248.1077,241.0723,-0.028356
GOOGL,llm,2025-10-15,2025-10-16,2025-10-23,BUY,251.6054,252.8146,0.004806
GOOGL,llm,2025-10-16,2025-10-17,2025-10-24,BUY,250.5961,256.4123,0.023209
GOOGL,llm,2025-10-17,2025-10-20,2025-10-27,BUY,254.5235,264.6469,0.039774
GOOGL,llm,2025-10-20,2025-10-21,2025-10-28,BUY,254.5735,269.5137,0.058687
GOOGL,llm,2025-10-21,2025-10-22,2025-10-29,BUY,254.2037,267.575,0.052601
GOOGL,llm,2025-10-24,2025-10-27,2025-11-03,BUY,264.6469,281.9955,0.065554
GOOGL,llm,2025-10-27,2025-10-28,2025-11-04,BUY,269.5137,276.5691,0.026178
GOOGL,llm,2025-10-28,2025-10-29,2025-11-05,BUY,267.575,278.6877,0.041531
GOOGL,llm,2025-10-29,2025-10-30,2025-11-06,BUY,291.3994,285.1435,-0.021469
GOOGL,llm,2025-10-30,2025-10-31,2025-11-07,BUY,283.0249,283.0248,-0.0
GOOGL,llm,2025-10-31,2025-11-03,2025-11-10,BUY,281.9955,284.2341,0.007938
GOOGL,llm,2025-11-19,2025-11-20,2025-11-28,BUY,304.3409,323.1586,0.061831
GOOGL,llm,2025-11-20,2025-11-21,2025-12-01,BUY,296.2262,317.4923,0.07179
GOOGL,llm,2025-11-24,2025-11-25,2025-12-03,SELL,325.9968,315.6835,0.031636
GOOGL,llm,2025-11-26,2025-11-28,2025-12-05,BUY,323.1586,319.2811,-0.011999
GOOGL,llm,2025-12-01,2025-12-02,2025-12-09,BUY,316.5329,312.37,-0.013152
TSLA,llm,2025-10-17,2025-10-20,2025-10-27,BUY,443.87,439.98,-0.008764
TSLA,llm,2025-10-23,2025-10-24,2025-10-31,BUY,446.83,446.75,-0.000179
TSLA,llm,2025-11-14,2025-11-17,2025-11-24,SELL,398.74,402.17,-0.008602
TSLA,llm,2025-11-17,2025-11-18,2025-11-25,SELL,405.38,414.42,-0.0223
TSLA,llm,2025-11-19,2025-11-20,2025-11-28,SELL,414.63,426.59,-0.028845
TSLA,llm,2025-11-21,2025-11-24,2025-12-02,SELL,402.17,430.81,-0.071214
GLD,llm,2025-10-01,2025-10-02,2025-10-09,BUY,358.26,373.14,0.041534
GLD,llm,2025-10-02,2025-10-03,2025-10-10,BUY,357.12,367.54,0.029178
GLD,llm,2025-10-03,2025-10-06,2025-10-13,BUY,362.16,376.5,0.039596
GLD,llm,2025-10-06,2025-10-07,2025-10-14,BUY,366.51,378.21,0.031923
GLD,llm,2025-10-07,2025-10-08,2025-10-15,BUY,371.65,385.93,0.038423
GLD,llm,2025-10-08,2025-10-09,2025-10-16,BUY,373.14,391.15,0.048266
GLD,llm,2025-10-10,2025-10-13,2025-10-20,BUY,376.5,397.45,0.055644
GLD,llm,2025-10-13,2025-10-14,2025-10-21,BUY,378.21,386.54,0.022025
GLD,llm,2025-10-14,2025-10-15,2025-10-22,BUY,385.93,372.75,-0.034151
GLD,llm,2025-10-15,2025-10-16,2025-10-23,BUY,391.15,381.46,-0.024773
GLD,llm,2025-10-20,2025-10-21,2025-10-28,BUY,386.54,361.81,-0.063978
GLD,llm,2025-11-10,2025-11-11,2025-11-18,BUY,379.98,374.83,-0.013553
GLD,llm,2025-11-12,2025-11-13,2025-11-20,BUY,387.29,375.29,-0.030985
GLD,llm,2025-11-24,2025-11-25,2025-12-03,BUY,380.26,388.46,0.021564
GLD,llm,2025-11-26,2025-11-28,2025-12-05,BUY,385.98,389.12,0.008135
GLD,llm,2025-11-28,2025-12-01,2025-12-08,BUY,390.61,387.02,-0.009191
GLD,llm,2025-12-01,2025-12-02,2025-12-09,BUY,388.87,385.62,-0.008358
GLD,llm,2025-12-12,2025-12-15,2025-12-22,BUY,397.76,406.98,0.02318
GLD,llm,2025-12-15,2025-12-16,2025-12-23,BUY,397.75,410.3,0.031552
GLD,llm,2025-12-16,2025-12-17,2025-12-24,BUY,398.08,412.25,0.035596
GLD,llm,2025-12-17,2025-12-18,2025-12-26,BUY,398.28,416.48,0.045697
