ticker,date,version,run_type,strategy,start_date,end_date,n_trades,n_buy,n_sell,total_return_pct,avg_trade_pct,win_rate,avg_win_pct,avg_loss_pct,profit_factor,sharpe,max_drawdown_pct
GOOGL,2025-01-01,34b30b7,backtest,momentum,2025-01-01,2025-12-31,142,96,46,44.9554,0.3618,0.5211,3.6818,-3.2511,1.2324,0.5712,-64.7234
TSLA,2025-01-01,34b30b7,backtest,momentum,2025-01-01,2025-12-31,105,64,41,246.2131,1.42,0.5333,6.3536,-4.2183,1.7214,1.4552,-69.9418
GLD,2025-01-01,34b30b7,backtest,momentum,2025-01-01,2025-12-31,107,84,23,27.4491,0.2753,0.5888,2.3251,-2.6597,1.2517,0.6264,-42.2639
GOOGL,2025-10-01,ad116a8,backtest,llm,2025-10-01,2025-12-31,17,16,1,48.834,2.4151,0.7059,4.0461,-1.4995,6.4759,5.2959,-2.4993
TSLA,2025-10-01,ad116a8,backtest,llm,2025-10-01,2025-12-31,6,2,4,-13.3523,-2.3317,0.0,0.0,-2.3317,0.0,-6.4539,-12.5862
GLD,2025-10-01,ad116a8,backtest,llm,2025-10-01,2025-12-31,21,21,0,31.6359,1.3682,0.6667,3.3737,-2.6427,2.5532,2.9827,-15.7237
GOOGL,2025-10-01,ad116a8,backtest,llm,2025-10-01,2025-12-31,25,25,0,52.7164,1.754,0.68,3.3594,-1.6573,4.3073,3.984,-4.3631
TSLA,2025-10-01,ad116a8,backtest,llm,2025-10-01,2025-12-31,22,20,2,-16.225,-0.7211,0.3636,3.5343,-3.1527,0.6406,-1.2448,-16.4601
GLD,2025-10-01,ad116a8,backtest,llm,2025-10-01,2025-12-31,26,26,0,26.2162,0.9685,0.6154,3.4747,-3.0415,1.8279,1.8165,-25.4482
GOOGL,2025-01-10,4098196,daily,momentum,,,,,,,,,,,,,
TSLA,2025-01-10,4098196,daily,momentum,,,,,,,,,,,,,
GLD,2025-01-10,4098196,daily,momentum,,,,,,,,,,,,,
GOOGL,2025-10-01,4098196,backtest,llm,2025-10-01,2025-12-31,25,25,0,52.7164,1.754,0.68,3.3594,-1.6573,4.3073,3.984,-4.3631
TSLA,2025-10-01,4098196,backtest,llm,2025-10-01,2025-12-31,24,20,4,-24.4353,-1.0779,0.3333,3.5343,-3.384,0.5222,-1.8401,-24.6474
GLD,2025-10-01,4098196,backtest,llm,2025-10-01,2025-12-31,28,27,1,25.7825,0.8871,0.6071,3.2836,-2.8165,1.8017,1.7225,-25.8709
GOOGL,2025-12-01,5faceb4,backtest,llm,2025-12-01,2025-12-31,1,1,0,-1.3152,-1.3152,0.0,0.0,-1.3152,0.0,0.0,0.0
TSLA,2025-12-01,5faceb4,backtest,llm,2025-12-01,2025-12-31,9,9,0,7.8466,0.9368,0.5556,3.9072,-2.7761,1.7593,1.4339,-9.5639
GLD,2025-12-01,5faceb4,backtest,llm,2025-12-01,2025-12-31,5,5,0,13.3429,2.5533,0.8,3.4006,-0.8358,16.2748,8.7975,0.0
GOOGL,2025-12-01,5faceb4,backtest,llm,2025-12-01,2025-12-31,1,1,0,-1.3152,-1.3152,0.0,0.0,-1.3152,0.0,0.0,0.0
TSLA,2025-12-01,5faceb4,backtest,llm,2025-12-01,2025-12-31,9,9,0,7.8466,0.9368,0.5556,3.9072,-2.7761,1.7593,1.4339,-9.5639
GLD,2025-12-01,5faceb4,backtest,llm,2025-12-01,2025-12-31,5,5,0,13.3429,2.5533,0.8,3.4006,-0.8358,16.2748,8.7975,0.0
GOOGL,2025-12-01,5faceb4,backtest,llm,2025-12-01,2025-12-31,0,,,,,,,,,,
TSLA,2025-12-01,5faceb4,backtest,llm,2025-12-01,2025-12-31,0,,,,,,,,,,
GLD,2025-12-01,5faceb4,backtest,llm,2025-12-01,2025-12-31,4,4,0,9.8761,2.4029,0.75,3.4824,-0.8358,12.4998,7.2674,0.0
